strategy,avg_independence_score,num_chunks,avg_chars,avg_sentences
recursive,3.25,16,362.1875,3.75
sentence_4,2.9166666666666665,12,468.6666666666667,3.9166666666666665
semantic,2.75,4,1408.0,11.75
fixed_size_500,2.0833333333333335,12,469.4166666666667,4.833333333333333
fixed_size_200,1.7586206896551724,29,194.27586206896552,2.5517241379310347
